,country,subnational1,lat,lon,umd_tree_cover_density_2000__threshold,gfw_forest_carbon_gross_removals__Mg_CO2_yr-1,gfw_forest_carbon_net_flux__Mg_CO2e_yr-1,umd_tree_cover_extent_2000__ha
0,Afghanistan,Badakhshan,36.8040254,71.367658,30,5999,-5959,1054
1,Afghanistan,Badakhshan,36.8040254,71.367658,50,2049,-2036,278
2,Afghanistan,Badakhshan,36.8040254,71.367658,75,766,-763,27
3,Afghanistan,Badghis,35.0,63.75,30,955,-843,516
4,Afghanistan,Badghis,35.0,63.75,50,650,-548,335
5,Afghanistan,Badghis,35.0,63.75,75,276,-204,94
6,Afghanistan,Baghlan,35.75,69.0,30,1358,-1283,316
7,Afghanistan,Baghlan,35.75,69.0,50,981,-910,136
8,Afghanistan,Baghlan,35.75,69.0,75,741,-711,27
9,Afghanistan,Balkh,36.7581299,66.8979753,30,558,-544,19
10,Afghanistan,Balkh,36.7581299,66.8979753,50,540,-528,10
11,Afghanistan,Balkh,36.7581299,66.8979753,75,525,-514,2
12,Afghanistan,Bamyan,34.75,67.25,30,23,-22,8
13,Afghanistan,Bamyan,34.75,67.25,50,20,-20,6
14,Afghanistan,Bamyan,34.75,67.25,75,16,-16,3
15,Afghanistan,Daykundi,33.725113,66.2196554,30,60,-60,3
16,Afghanistan,Daykundi,33.725113,66.2196554,50,57,-57,1
17,Afghanistan,Daykundi,33.725113,66.2196554,75,56,-56,0
18,Afghanistan,Farah,32.607111,62.671011,30,3,-3,0
19,Afghanistan,Farah,32.607111,62.671011,50,3,-3,0
20,Afghanistan,Farah,32.607111,62.671011,75,3,-3,0
21,Afghanistan,Faryab,35.9261784,64.6237758,30,899,-888,209
22,Afghanistan,Faryab,35.9261784,64.6237758,50,770,-762,122
23,Afghanistan,Faryab,35.9261784,64.6237758,75,639,-633,34
24,Afghanistan,Ghazni,33.5448968,68.4132108,30,195,-194,14
25,Afghanistan,Ghazni,33.5448968,68.4132108,50,194,-194,14
26,Afghanistan,Ghazni,33.5448968,68.4132108,75,175,-174,0
27,Afghanistan,Ghor,34.1605257,64.9201949,30,36,-36,2
28,Afghanistan,Ghor,34.1605257,64.9201949,50,35,-35,1
29,Afghanistan,Ghor,34.1605257,64.9201949,75,35,-35,1
30,Afghanistan,Helmand,31.0,64.0,30,4,-4,1
31,Afghanistan,Helmand,31.0,64.0,50,4,-4,1
32,Afghanistan,Helmand,31.0,64.0,75,3,-3,0
