country,subnational1,umd_tree_cover_density_2000__threshold,umd_tree_cover_extent_2000__ha,gfw_forest_carbon_net_flux__Mg_CO2e_yr-1,region_intake_x_hectar,country_intake_x_hectar
Hungary,Baranya,75,89316,-303491,-3.3979466165076806,-0.8137713827333881
Hungary,Borsod-Abaúj-Zemplén,75,198778,-805309,-4.051298433428246,-0.8137713827333881
Hungary,Budapest,75,3914,-28887,-7.380429228410833,-0.8137713827333881
Hungary,Bács-Kiskun,75,54296,-117079,-2.156309857079711,-0.8137713827333881
Hungary,Békés,75,14963,-44157,-2.951079329011562,-0.8137713827333881
Hungary,Csongrád,75,15834,-53054,-3.350637867879247,-0.8137713827333881
Hungary,Fejér,75,37359,-143996,-3.8543858240316924,-0.8137713827333881
Hungary,Gyor-Moson-Sopron,75,62664,-123709,-1.9741637942040087,-0.8137713827333881
Hungary,Hajdú-Bihar,75,45335,-11407,-0.2516157494209772,-0.8137713827333881
Hungary,Heves,75,78723,-405470,-5.150591313847287,-0.8137713827333881
Hungary,Jász-Nagykun-Szolnok,75,14817,-38712,-2.6126746304920023,-0.8137713827333881
Hungary,Komárom-Esztergom,75,50282,-210025,-4.176942046855734,-0.8137713827333881
Hungary,Nógrád,75,97518,-551168,-5.651961689124059,-0.8137713827333881
Hungary,Pest,75,112144,-488032,-4.351833357112284,-0.8137713827333881
Hungary,Somogy,75,132920,-245568,-1.8474872103520914,-0.8137713827333881
Hungary,Szabolcs-Szatmár-Bereg,75,61988,41751,0.6735335871458992,-0.8137713827333881
Hungary,Tolna,75,44597,-116179,-2.605085543870664,-0.8137713827333881
Hungary,Vas,75,86491,-433505,-5.012139991444196,-0.8137713827333881
Hungary,Veszprém,75,105619,-401314,-3.7996383226502806,-0.8137713827333881
Hungary,Zala,75,119047,-298495,-2.5073710383293992,-0.8137713827333881
