id,name,emission,lat_source,lon_source,country
25451360,Matra power station,2183200.0,47.7894,20.0702,Hungary
447786,Dunamenti power station,973560.0,47.3283,18.9169,Hungary
25453837,Gönyűi power station,388960.0,47.7384,17.8033,Hungary
447748,Csepel power station,246486.26,47.428,19.0525,Hungary
52976096,Oroszlány power station,175790.0,47.5018,18.2697,Hungary
447534,Kelenföldi Erőmű power station,154920.0,47.4624,19.0563,Hungary
447468,Bakony power station,147770.0,47.0956,17.5584,Hungary
6156,Ajka power station,145390.0,47.0946,17.556,Hungary
449943,Borsodchem power station,106547.0,48.2356,20.6846,Hungary
447785,ISD Power station,100561.0,46.9444,18.9438,Hungary
717648,North Buda power station,81760.0,47.5642,19.0378,Hungary
447535,Kispesti Erőmű power station,79928.0,47.4568,19.1673,Hungary
447536,Újpesti power station,79117.0,47.554,19.1023,Hungary
25452727,Lőrinci power station,58523.0,47.7164,19.6778,Hungary
717378,Miskolc Hold power station,30860.0,48.0949,20.7473,Hungary
717167,TVK Industrial power station,27220.0,47.9144,21.0236,Hungary
49701042,Tatabanya power station,26781.0,47.5606,18.4288,Hungary
4404107,Sajoszoged power station,8014.109999999999,47.9394,20.9698,Hungary
4404106,Liter power station,6115.83,47.1076,18.0146,Hungary
