country,subnational1,umd_tree_cover_density_2000__threshold,umd_tree_cover_extent_2000__ha,gfw_forest_carbon_net_flux__Mg_CO2e_yr-1,region_intake_x_hectar,country_intake_x_hectar
Italy,Abruzzo,75,271145,-2819924,-10.400059009017316,-0.8137713827333881
Italy,Apulia,75,73589,-231422,-3.1447906616478005,-0.8137713827333881
Italy,Basilicata,75,226272,-1234613,-5.45632247914015,-0.8137713827333881
Italy,Calabria,75,517471,-4162868,-8.044640182734877,-0.8137713827333881
Italy,Campania,75,363790,-1982024,-5.448264108414195,-0.8137713827333881
Italy,Emilia-Romagna,75,407067,-2139046,-5.254776240766262,-0.8137713827333881
Italy,Friuli-Venezia Giulia,75,225275,-2014736,-8.943451337254468,-0.8137713827333881
Italy,Lazio,75,363528,-1681420,-4.625283334433661,-0.8137713827333881
Italy,Liguria,75,287233,-776842,-2.704570853627543,-0.8137713827333881
Italy,Lombardy,75,444574,-2559765,-5.757792853383239,-0.8137713827333881
Italy,Marche,75,144924,-953077,-6.576391763959041,-0.8137713827333881
Italy,Molise,75,98229,-363196,-3.6974416923719065,-0.8137713827333881
Italy,Piedmont,75,585718,-3502347,-5.9795789099874,-0.8137713827333881
Italy,Sardinia,75,332676,-1165823,-3.5043796366434607,-0.8137713827333881
Italy,Sicily,75,209485,-868590,-4.146311191732105,-0.8137713827333881
Italy,Tuscany,75,845547,-2255071,-2.6669966305835158,-0.8137713827333881
Italy,Trentino-South Tyrol,75,561185,-2493978,-4.444128050464641,-0.8137713827333881
Italy,Umbria,75,184143,-315771,-1.7148140304002868,-0.8137713827333881
Italy,Aosta Valley,75,60364,-498865,-8.264280034457624,-0.8137713827333881
Italy,Veneto,75,277124,-1701552,-6.140038394364978,-0.8137713827333881
