country,subnational1,umd_tree_cover_density_2000__threshold,umd_tree_cover_extent_2000__ha,gfw_forest_carbon_net_flux__Mg_CO2e_yr-1,region_intake_x_hectar,country_intake_x_hectar
Mongolia,Arhangay,75,14395,9474,0.658145189301841,-0.8137713827333881
Mongolia,Bayan-Ölgiy,75,2755,-14762,-5.358257713248639,-0.8137713827333881
Mongolia,Bayanhongor,75,11,-352,-32.0,-0.8137713827333881
Mongolia,Bulgan,75,2521,-18826,-7.467671558905196,-0.8137713827333881
Mongolia,Darhan-Uul,75,150,-639,-4.26,-0.8137713827333881
Mongolia,Dornod,75,699,3776,5.402002861230329,-0.8137713827333881
Mongolia,Dornogovi,75,0,0,,-0.8137713827333881
Mongolia,Dundgovi,75,0,0,,-0.8137713827333881
Mongolia,Dzavhan,75,14614,38989,2.6679211714794033,-0.8137713827333881
Mongolia,Govi-Altay,75,3,-26,-8.666666666666666,-0.8137713827333881
Mongolia,Govisümber,75,0,0,,-0.8137713827333881
Mongolia,Hentiy,75,32735,-81267,-2.4825721704597528,-0.8137713827333881
Mongolia,Hovd,75,119,386,3.2436974789915967,-0.8137713827333881
Mongolia,Hövsgöl,75,78493,-144635,-1.842648389028321,-0.8137713827333881
Mongolia,Orhon,75,54,-287,-5.314814814814815,-0.8137713827333881
Mongolia,Selenge,75,113074,32873,0.2907211206820312,-0.8137713827333881
Mongolia,Sühbaatar,75,13,-23,-1.7692307692307692,-0.8137713827333881
Mongolia,Töv,75,30999,8810,0.28420271621665216,-0.8137713827333881
Mongolia,Ulaanbaatar,75,6368,2897,0.4549309045226131,-0.8137713827333881
Mongolia,Uvs,75,2062,-10406,-5.0465567410281285,-0.8137713827333881
Mongolia,Ömnögovi,75,0,0,,-0.8137713827333881
Mongolia,Övörhangay,75,8979,11685,1.3013698630136987,-0.8137713827333881
