country,subnational1,umd_tree_cover_density_2000__threshold,umd_tree_cover_extent_2000__ha,gfw_forest_carbon_net_flux__Mg_CO2e_yr-1,region_intake_x_hectar,country_intake_x_hectar
Saudi Arabia,Asir,75,0,-4523,-inf,-0.8137713827333881
Saudi Arabia,Al Bahah,75,0,-579,-inf,-0.8137713827333881
Saudi Arabia,Al Hudud ash Shamaliyah,75,0,0,,-0.8137713827333881
Saudi Arabia,Al Jawf,75,0,0,,-0.8137713827333881
Saudi Arabia,Al Madinah,75,0,-194,-inf,-0.8137713827333881
Saudi Arabia,Al Qassim,75,0,0,,-0.8137713827333881
Saudi Arabia,Ar Riyad,75,0,0,,-0.8137713827333881
Saudi Arabia,Ash-Sharqīyah,75,0,-3343,-inf,-0.8137713827333881
Saudi Arabia,Jizan,75,0,-1589,-inf,-0.8137713827333881
Saudi Arabia,Makkah,75,0,-1331,-inf,-0.8137713827333881
Saudi Arabia,Najran,75,0,0,,-0.8137713827333881
Saudi Arabia,Tabuk,75,0,-142,-inf,-0.8137713827333881
Saudi Arabia,Ḩaʼil,75,0,0,,-0.8137713827333881
