id,name,emission,lat_source,lon_source,country
449864,Shoaiba power plant,22046000.0,20.6275,39.5559,Saudi Arabia
449168,Qurayyah Thermal power plant,20764000.0,25.826,50.1351,Saudi Arabia
449190,Rabigh-2 power plant,19711000.0,22.6694,39.0365,Saudi Arabia
25451979,Ghazlan power plant,16027000.0,26.8541,49.8976,Saudi Arabia
451589,Riyadh 9 power plant,11042500.0,24.9491,47.0649,Saudi Arabia
451563,Qurayyah CC power plant,9597400.0,25.8447,50.1251,Saudi Arabia
452297,Yanbu 3 power plant,9329000.0,23.8606,38.3829,Saudi Arabia
4406800,Jizan IGCC power plant,9061700.0,17.2775,42.3626,Saudi Arabia
450095,Riyadh 10 power plant,8074800.0,24.4165,47.017,Saudi Arabia
449165,Riyadh 8 power plant,6909800.0,24.5946,46.5718,Saudi Arabia
450658,Ras Al-Khair power plant,6903000.0,27.5367,49.1389,Saudi Arabia
451607,Jeddah South power plant,6706700.0,21.2121,39.1773,Saudi Arabia
449175,Shuqaiq Steam Power Plant,6706700.0,17.6391,42.1078,Saudi Arabia
451028,MARAFIQ Independent Water and power plant,6646700.0,27.0704,49.6078,Saudi Arabia
449147,Jubail (SWCC) power station,6128100.0,26.8966,49.7769,Saudi Arabia
25451977,Faras power plant,5305200.0,25.2097,49.2855,Saudi Arabia
449186,Jeddah PP3 power plant,5048900.0,21.4327,39.2043,Saudi Arabia
452147,Rabigh 2 IPP power station,4986300.0,22.6289,39.0467,Saudi Arabia
452205,Riyadh 12 power plant,4977800.0,24.7843,45.6053,Saudi Arabia
449161,Al-Qassim power plant,4860700.0,26.204,44.016,Saudi Arabia
4406882,Riyadh City-14 power station,4660400.0,24.4179,47.0231,Saudi Arabia
451881,Wasit Gas power plant,4615600.0,27.11,49.312,Saudi Arabia
449179,Jizan Central power plant,4604900.0,16.9385,42.6339,Saudi Arabia
25451969,Riyadh 7 power plant,4335200.0,24.57,46.883,Saudi Arabia
451525,Riyadh PP11 power station,4240500.0,24.7868,45.6278,Saudi Arabia
4406881,Riyadh City-13 power station,4236600.0,24.785,45.6215,Saudi Arabia
449148,Alkhobar power plant,3736300.0,26.18,50.209,Saudi Arabia
452707,Fadhili cogeneration power plant,3639600.0,27.1193,49.0724,Saudi Arabia
25451980,Shedgum power plant,3626300.0,25.6745,49.4329,Saudi Arabia
25452735,Shaybah Gas power plant,3530600.0,22.6062,54.0711,Saudi Arabia
