country,subnational1,umd_tree_cover_density_2000__threshold,umd_tree_cover_extent_2000__ha,gfw_forest_carbon_net_flux__Mg_CO2e_yr-1,region_intake_x_hectar,country_intake_x_hectar
Spain,Andalucía,75,358233,-1615503,-4.509643165202536,-0.8137713827333881
Spain,Aragón,75,396650,-2708176,-6.827621328627253,-0.8137713827333881
Spain,Cantabria,75,184446,-1018830,-5.523730522754628,-0.8137713827333881
Spain,Castilla y León,75,901009,-4708183,-5.225456127519259,-0.8137713827333881
Spain,Castilla-La Mancha,75,247586,-1413029,-5.707224964254845,-0.8137713827333881
Spain,Cataluña,75,684027,-3664171,-5.356763695000343,-0.8137713827333881
Spain,Ceuta y Melilla,75,183,-634,-3.4644808743169397,-0.8137713827333881
Spain,Comunidad Foral de Navarra,75,306422,-2940876,-9.597470155537135,-0.8137713827333881
Spain,Comunidad Valenciana,75,103946,-827267,-7.958622746426029,-0.8137713827333881
Spain,Comunidad de Madrid,75,45201,-248280,-5.49279883188425,-0.8137713827333881
Spain,Extremadura,75,183846,-584604,-3.1798570542736857,-0.8137713827333881
Spain,Galicia,75,910062,217364,0.23884526548740637,-0.8137713827333881
Spain,Islas Baleares,75,42037,-262473,-6.24385660251683,-0.8137713827333881
Spain,Islas Canarias,75,24644,-39220,-1.5914624249310176,-0.8137713827333881
Spain,La Rioja,75,102596,-764103,-7.447688019026083,-0.8137713827333881
Spain,País Vasco,75,367454,-609719,-1.6593070152998743,-0.8137713827333881
Spain,Principado de Asturias,75,375687,-1046325,-2.7850977010117464,-0.8137713827333881
Spain,Región de Murcia,75,12592,-122530,-9.730781448538755,-0.8137713827333881
